2014-12-26 20:41:19 INFO  ResourceX:58 - ============================[ VOBaseMasterPage.vb -> Global.resx ]===============================
2014-12-26 20:41:20 INFO  ResourceX:102 -  (56) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuCancellations] defaultLanguageValue = [Cancellations]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (57) Resource Exist: FileName = [Global.resx] value = [default_labelAddTask] defaultLanguageValue = [Add Task]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (57) Resource Exist: FileName = [Global.resx] value = [default_labelAddTask] defaultLanguageValue = [Add Task]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (58) Resource Added: FileName = [Global.resx] value = [default_po_labelImportIntouchContacts] defaultLanguageValue = [Import Intouch Contacts]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (59) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuInventoryOrders] defaultLanguageValue = [Inventory Orders]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (60) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuAppointments] defaultLanguageValue = [Apointments]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (61) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuFavoriteReports] defaultLanguageValue = [Favorite Reports]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (62) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuSalesTotals] defaultLanguageValue = [Sales Totals]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (63) Resource Added: FileName = [Global.resx] value = [global_mainMenuReports] defaultLanguageValue = [Reports]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (64) Resource Exist: FileName = [Global.resx] value = [default_labelAddIncome] defaultLanguageValue = [Add Income]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (64) Resource Exist: FileName = [Global.resx] value = [default_labelAddIncome] defaultLanguageValue = [Add Income]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (65) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuInvoices] defaultLanguageValue = [Invoices]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (66) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuReadyToBill] defaultLanguageValue = [Ready To Bill]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (67) Resource Added: FileName = [Global.resx] value = [global_mainMenuContacts] defaultLanguageValue = [Contacts]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (68) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuUserReports] defaultLanguageValue = [User Reports]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (69) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuGettingStarted] defaultLanguageValue = [Getting Started]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (70) Resource Added: FileName = [Global.resx] value = [default_labelExportContactsCSV] defaultLanguageValue = [Export Contacts to CSV]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (71) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuCollections] defaultLanguageValue = [Collections]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (72) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuHelpDesk] defaultLanguageValue = [Help Desk]
2014-12-26 20:41:20 INFO  ResourceX:106 -  (73) Resource Exist: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Notices]
2014-12-26 20:41:20 INFO  ResourceX:107 -  (73) Resource Exist: FileName = [Global.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = [Notices]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (74) Resource Added: FileName = [Global.resx] value = [default_labelMyReferrals] defaultLanguageValue = [My Referrals]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (75) Resource Added: FileName = [Global.resx] value = [default_co_labelImportBeautinetContacts] defaultLanguageValue = [Import Beautinet Contacts]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (76) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuLogs] defaultLanguageValue = [Logs]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (77) Resource Added: FileName = [Global.resx] value = [default_labelDownloadBrochure] defaultLanguageValue = [Download Brochure]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (78) Resource Added: FileName = [Global.resx] value = [global_mainSubSubMenuAdminRoles] defaultLanguageValue = [Admin Roles]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (79) Resource Added: FileName = [Global.resx] value = [global_mainMenuAdmin] defaultLanguageValue = [Admin]
2014-12-26 20:41:20 INFO  ResourceX:102 -  (80) Resource Added: FileName = [Global.resx] value = [global_mainSubMenuDashboard] defaultLanguageValue = [Dashboard]
2014-12-26 20:41:20 INFO  ResourceX:58 - ============================[ VOBaseMasterPage.vb -> Global.es.resx ]===============================
