2014-12-23 01:19:38 INFO  ResourceX:97 -  (3) Resource Added: FileName = [Global.es.resx] value = [default_linkViewContact] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (4) Resource Added: FileName = [Global.es.resx] value = [default_eventLinkAppointments1] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (5) Resource Added: FileName = [Global.es.resx] value = [default_successIncomeAdded] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (6) Resource Added: FileName = [Global.es.resx] value = [default_successMileageAdded] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (7) Resource Added: FileName = [Global.es.resx] value = [default_stringPriorotyHight] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (8) Resource Added: FileName = [Global.es.resx] value = [default_stringPriorotyMedium] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (9) Resource Added: FileName = [Global.es.resx] value = [default_stringAppointment] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (10) Resource Added: FileName = [Global.es.resx] value = [default_notifyExpenseAdded] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (11) Resource Added: FileName = [Global.es.resx] value = [default_eventLinkViewContact1] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (12) Resource Added: FileName = [Global.es.resx] value = [default_notifyMileageAdded] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (13) Resource Added: FileName = [Global.es.resx] value = [default_successTaskAdded] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (14) Resource Added: FileName = [Global.es.resx] value = [default_stringPriorotyLow] defaultLanguageValue = []
2014-12-23 01:19:38 INFO  ResourceX:97 -  (15) Resource Added: FileName = [Global.es.resx] value = [default_linkViewBookingHosted] defaultLanguageValue = []
2014-12-23 01:19:39 INFO  ResourceX:97 -  (16) Resource Added: FileName = [Global.es.resx] value = [default_stringAtTime] defaultLanguageValue = []
2014-12-23 01:19:39 INFO  ResourceX:97 -  (17) Resource Added: FileName = [Global.es.resx] value = [default_successExpenseAdded] defaultLanguageValue = []
2014-12-23 01:19:39 INFO  ResourceX:97 -  (18) Resource Added: FileName = [Global.es.resx] value = [default_notifyIncomeAdded] defaultLanguageValue = []
2014-12-23 01:19:39 INFO  ResourceX:97 -  (19) Resource Added: FileName = [Global.es.resx] value = [default_eventLinkViewContact] defaultLanguageValue = []
2014-12-23 01:19:39 INFO  ResourceX:97 -  (20) Resource Added: FileName = [Global.es.resx] value = [default_eventLinkAppointments] defaultLanguageValue = []
2014-12-23 01:19:39 INFO  ResourceX:97 -  (21) Resource Added: FileName = [Global.es.resx] value = [default_stringAllDay] defaultLanguageValue = []
2014-12-23 01:19:39 INFO  ResourceX:97 -  (22) Resource Added: FileName = [Global.es.resx] value = [default_stringRecurringAppointment] defaultLanguageValue = []
2014-12-23 11:09:08 INFO  ResourceX:56 - ============================[ Default.aspx -> Global.resx ]===============================
